ID_Pelicula,Título,Anio,Puntuación,Sinopsis,ID_Clasificacion,ID_Genero
58,The Pursuit of Happyness,2006,8,Un hombre lucha por mantener a su hijo mientras enfrenta una vida de pobreza y un trabajo precario en su búsqueda por convertirse en corredor de bolsa.,58,58
59,Corazón valiente,1995,8.3,"La historia de William Wallace, un héroe escocés que lidera una rebelión contra el dominio inglés en el siglo XIII.",59,59
60,Los otros,2001,7.6,Una madre que vive con sus dos hijos en una casa aislada empieza a descubrir que la casa está plagada de presencias extrañas.,60,60
61,El gran pez,2003,8,"Un hombre mayor relata las fantásticas historias de su vida a su hijo, que no sabe si creer en ellas.",61,61
62,El planeta de los simios,1968,8,Un astronauta llega a un planeta gobernado por simios inteligentes que esclavizan a los humanos.,62,62
63,La chica del dragón tatuado,2011,7.8,Una periodista y una hacker investigan la desaparición de una joven hace décadas mientras descubren secretos oscuros.,63,63
64,El diablo viste a la moda,2006,6.9,Una joven obtiene un trabajo en una revista de moda y debe lidiar con su exigente jefa mientras lucha por mantener su vida personal.,64,64
65,500 días con ella,2009,7.7,"La historia de una relación que empieza y termina contada desde diferentes perspectivas, centrándose en la experiencia del protagonista masculino.",65,65
66,El código Da Vinci,2006,6.6,Un profesor de simbología se ve envuelto en una conspiración que lo lleva a descubrir secretos históricos mientras es perseguido por un asesino.,66,66
67,Ángeles y demonios,2009,6.7,Un experto en simbología investiga una serie de asesinatos relacionados con los Illuminati y el Vaticano.,67,67
68,Inferno,2016,6.2,Un experto en simbología sufre de amnesia y se une a una doctora para detener una amenaza relacionada con una plaga mortal.,68,68
69,El conjuro,2013,7.5,"Basado en hechos reales, un par de investigadores paranormales ayudan a una familia aterrorizada por una entidad maligna en su casa.",69,69
70,Annabelle,2014,5.4,Una muñeca poseída por un espíritu demoníaco aterroriza a una joven pareja y su hija recién nacida.,70,70
71,IT (Eso),2017,7.3,Un grupo de niños en una pequeña ciudad se enfrenta a un ser maligno que toma la forma de un payaso.,71,71
72,Fragmentado,2016,7.3,Un hombre con múltiples personalidades rapta a tres jóvenes y deben luchar por sobrevivir mientras descubren la verdad detrás de su secuestrador.,72,72
73,Glass,2019,6.6,"En este thriller de superhéroes, tres individuos con habilidades extraordinarias se enfrentan en una confrontación de proporciones épicas.",73,73
74,Señales,2002,6.8,Un ex sacerdote y su familia descubren señales misteriosas en los cultivos que podrían ser el preludio de una invasión alienígena.,74,74
75,Coraline y la puerta secreta,2009,7.7,"Una niña encuentra una puerta secreta que la lleva a un mundo paralelo, donde debe salvar a sus padres y su vida en el proceso.",75,75
76,John Wick: Otro día para matar,2014,7.4,Un ex asesino profesional se ve forzado a volver a la acción cuando una deuda del pasado lo obliga a asesinar a su antiguo amigo.,76,76
77,John Wick: Pacto de sangre,2017,7.5,John Wick debe luchar para sobrevivir después de romper una de las reglas sagradas de la sociedad de asesinos.,77,77
